GEOID,XCoord,YCoord,RoadbedDist,BlockHeight
3.6061E+14,-74.02397378,40.68747694,25.85999041,3.915698
3.6061E+14,-74.01861623,40.69195976,0,0
3.6061E+14,-74.01857719,40.69240111,47.46941086,0
3.6061E+14,-74.0211342,40.68575412,3.873591282,4.01562
3.6061E+14,-74.01581897,40.68770635,1.740128397,2.780489
3.6061E+14,-74.01310194,40.68914887,10.81068863,3.239571
3.6061E+14,-74.02538806,40.686077,21.61701528,0.156175
3.6061E+14,-74.01555735,40.69036317,73.02998665,0.657138
3.6061E+14,-74.02078656,40.69107335,7.001290216,2.642379
3.6061E+14,-74.02403893,40.6850268,17.59529978,1.970641
3.6061E+14,-74.01410776,40.69187827,25.27201223,2.693331
3.6061E+14,-74.02140292,40.68990894,18.05698507,1.277512
3.6061E+14,-74.01915223,40.68684704,114.022341,1.382811
3.6061E+14,-74.02128762,40.68763716,47.06388253,0.08969
3.6061E+14,-74.02260659,40.68876749,25.05381971,2.593426
3.6061E+14,-74.01951586,40.69000347,30.99780833,5.494925
3.6061E+14,-74.01821972,40.68887061,52.88350741,6.299606
3.6061E+14,-74.01786515,40.69028392,9.39548425,1.597652
3.6061E+14,-74.01739,40.68813615,13.70287783,4.51061
3.6061E+14,-74.01701748,40.68771975,12.61564737,3.519547
3.6061E+14,-74.00262126,40.69324673,281.147328,0.056451
3.6061E+14,-74.00295095,40.69165249,146.7589572,9.814844
3.6061E+14,-74.00645841,40.68750613,252.1972216,9.346574
3.6061E+14,-74.00438016,40.6903533,128.8691853,8.815009
3.6061E+14,-74.00538998,40.68893039,315.8954095,0
3.6061E+14,-73.99140191,40.71421719,6.795768719,9.529822
3.6061E+14,-73.9912966,40.71362885,7.051604526,9.036292
3.6061E+14,-73.99118645,40.71292963,6.731471983,5.293623
3.6061E+14,-73.99083128,40.71223758,7.398567973,8.406759
3.6061E+14,-73.99198731,40.71214487,6.239664648,9.4265
3.6061E+14,-73.99097658,40.71147609,9.199670183,4.039222
3.6061E+14,-73.98965941,40.7107022,9.729823563,0
3.6061E+14,-73.99086875,40.71051971,10.09473672,7.795678
3.6061E+14,-73.99075613,40.70990213,5.785500107,0
3.6061E+14,-73.99057518,40.70979673,4.595030955,0
3.6061E+14,-73.98788362,40.71391968,8.194074708,11.680632
3.6061E+14,-73.98940712,40.71379117,7.131245925,10.113132
3.6061E+14,-73.98992066,40.71420499,5.609844874,0
3.6061E+14,-73.98777003,40.71321247,9.178826648,22.458631
3.6061E+14,-73.98929646,40.71308708,8.467769194,8.551268
3.6061E+14,-73.98719148,40.71220581,7.476893363,6.726636
3.6061E+14,-73.98847076,40.71205977,10.52381325,4.273411
3.6061E+14,-73.98962751,40.71204415,7.926084307,3.129252
3.6061E+14,-73.98746004,40.71092864,25.81335301,5.77224
3.6061E+14,-73.98847993,40.71101796,21.34475313,28.026795
3.6061E+14,-73.98894337,40.71070295,18.62329041,8.012705
3.6061E+14,-73.98801761,40.71025,5.472910486,0
3.6061E+14,-73.98762535,40.70974578,20.24141294,4.040856
3.6061E+14,-74.01011393,40.70866337,16.4018243,61.019264
3.6061E+14,-74.01054267,40.70824415,16.47992799,91.348803
3.6061E+14,-74.00922977,40.70776441,27.00030578,66.506927
3.6061E+14,-74.00808157,40.70669851,19.87437279,103.236768
3.6061E+14,-74.00771133,40.70706117,19.0481408,55.259121
3.6061E+14,-74.00675056,40.70615721,19.1223721,89.495825
3.6061E+14,-74.0109603,40.7077379,14.30893638,92.509598
3.6061E+14,-74.0118426,40.70714733,15.33360507,104.691639
3.6061E+14,-74.01125934,40.70687314,20.62530775,51.771278
3.6061E+14,-74.01034702,40.70641919,20.6044814,84.151996
3.6061E+14,-74.00986094,40.70704766,21.03900723,97.263206
