GEOID,XCoord,YCoord,RoadbedDist,BlockHeight
360050016002000,-73.85849003,40.81652684,8.838657034,1.714102
360050016002001,-73.85942618,40.81638411,11.00867771,1.807242
360050016002002,-73.86035516,40.81654776,4.873422885,2.905392
360050016002003,-73.86120103,40.81693589,0,0
360050016002004,-73.86128179,40.81601146,16.18816322,2.111143
360050016002005,-73.86037041,40.81559707,5.25197077,0.896965
360050016003000,-73.85679284,40.82261169,7.47105735,4.041739
360050016004000,-73.85592391,40.82123476,6.635000525,4.295558
360050016004001,-73.85748786,40.8210257,6.92020663,1.703291
360050016004002,-73.85699476,40.81890587,4.249325804,1.777935
360050016004003,-73.85543253,40.81912494,6.493495806,0.009972
360050016004004,-73.85489842,40.81703261,5.161539852,0.133441
360050016004005,-73.85646952,40.8167816,7.533646699,2.521531
360050016004006,-73.85752785,40.81665736,8.796668025,1.706283
360050016004007,-73.85847526,40.81869863,7.836882277,1.271894
360050016004008,-73.85990196,40.81851598,7.711863706,2.081086
360050016004009,-73.8608297,40.81838964,6.203960497,2.299323
360050016004010,-73.8617547,40.81829048,3.841943515,2.337536
360050016004011,-73.86192686,40.81728548,4.773643584,0
360050019001000,-73.92895347,40.80924968,3.770084764,0
360050019001001,-73.9290789,40.80912759,5.129187485,0
360050019001002,-73.92940225,40.80885056,7.965855099,2.988404
360050019001003,-73.92994532,40.8082962,5.949309879,3.182391
360050019001004,-73.92827641,40.80761653,5.100125666,3.231267
360050019001005,-73.92802259,40.80819493,5.67741181,0
360050019001006,-73.92751448,40.80838649,8.061728481,0
360050019001007,-73.92556798,40.80750859,7.462817938,0
360050019001008,-73.9257386,40.80716714,6.287885523,0
360050019001009,-73.92611688,40.80671357,6.965561395,2.907539
360050019001010,-73.9235601,40.8056328,6.790348603,3.671855
360050019001011,-73.92275391,40.80594007,6.075345076,0
360050019001012,-73.9225974,40.80627864,4.871535024,0
360050019001013,-73.91982019,40.80513232,9.892924054,0
360050019001014,-73.92006821,40.80481694,6.276451459,0
360050019001015,-73.92043318,40.80431129,7.653608513,4.392395
360050019001016,-73.921736,40.80486439,11.51762845,3.542381
360050019001017,-73.92223049,40.80419458,6.361760274,7.106273
360050019001018,-73.92351662,40.80456206,14.98085431,3.534951
360050019001019,-73.92455581,40.80527527,7.122777386,0
360050019001020,-73.92661078,40.80603699,9.236787247,9.57689
360050019001021,-73.92875938,40.80694468,6.954670004,10.304759
360050019001022,-73.92092856,40.80364008,9.065859719,2.943508
360050019002000,-73.91718622,40.80418213,3.664342679,0
360050019002001,-73.91788337,40.80392641,6.397925659,0
360050019002002,-73.91911706,40.80374241,8.275357347,2.231802
360050019002003,-73.91857334,40.80263841,8.553590283,6.263443
360050019002004,-73.91804519,40.80313967,11.14467454,0
360050019002005,-73.91779764,40.80290562,9.389314347,3.959617
360050019002006,-73.91698272,40.80278694,6.377402975,0
360050019002007,-73.91789612,40.80344012,5.904917059,0
360050019002008,-73.91504769,40.80340823,5.315258161,0
360050019002009,-73.91597471,40.80360755,1.357724842,0
360050019002010,-73.91696307,40.80194761,8.156888846,0
360050019002011,-73.91577717,40.80291867,6.334618806,0
360050019003000,-73.91186538,40.80486416,4.534535401,0
360050019003001,-73.9129098,40.80405647,5.161588365,0
360050019003002,-73.910641,40.8051479,4.78038587,0
360050019003003,-73.90874456,40.8052994,9.026844957,3.252
360050019003004,-73.91027364,40.80421001,4.436577269,3.818812
360050019003005,-73.90947207,40.80472813,8.985683891,5.214843
360050019003006,-73.90806211,40.80407483,5.488675988,5.483596
360050019003007,-73.90749038,40.80465378,10.1512032,5.642591
360050019003008,-73.90635168,40.80399824,3.729141443,2.425045
360050019003009,-73.90692604,40.80343037,8.542673474,11.999465
360050019003010,-73.90754756,40.80281474,11.01260849,2.810678
360050019003011,-73.90868638,40.80346315,8.780174809,2.741508
360050019003012,-73.9093473,40.80284276,6.644448203,5.500876
360050019003013,-73.91074365,40.80353979,9.859819388,5.488731
360050019003014,-73.91196686,40.80402368,7.42223077,1.852458
360050019003015,-73.90995585,40.80225365,12.41141599,5.668363
360050019003016,-73.91128999,40.80292316,5.632160968,3.783838
360050019003017,-73.91265961,40.80347936,6.929361277,2.566236
360050019003018,-73.91334429,40.80296381,6.776312118,5.42035
360050019003019,-73.91414622,40.80339933,6.844480471,0
360050019003020,-73.91512817,40.80296823,4.971695545,0
360050019003021,-73.91602094,40.80235468,8.231827623,0
360050019003022,-73.91466822,40.80184658,7.621742139,3.212879
360050019003023,-73.91406674,40.80243906,6.42669245,3.579642
360050019003024,-73.91231951,40.80170739,10.90028315,4.588947
360050019003025,-73.91180622,40.80232555,7.750896537,4.320084
360050019003026,-73.91052737,40.80167939,10.04148049,4.87071
360050019003027,-73.91285943,40.80108209,10.92485943,8.186745
360050019003028,-73.90819457,40.80217483,18.72836747,4.424554
360050019003029,-73.90879438,40.80157953,6.668381549,0
360050019003030,-73.90937423,40.80100722,9.280822225,7.352128
360050019003031,-73.90996574,40.80041666,7.917388107,6.124351
360050019003032,-73.91110635,40.80108744,11.69018376,5.438323
360050019003033,-73.91171011,40.80048215,15.14117767,6.815151
360050019003034,-73.91057209,40.79981518,11.42887927,1.738967
360050019003035,-73.91117419,40.7992211,11.63367271,1.748105
360050019003036,-73.91231419,40.79989082,5.309814872,0
360050019003037,-73.9134053,40.80045533,4.952466449,3.584705
360050019003038,-73.91538083,40.80128713,7.776201717,3.48878
360050019004000,-73.90460004,40.80856053,6.96242448,0
360050019004001,-73.90590214,40.80754766,6.459075354,0
360050019004002,-73.90639319,40.8068646,11.14717096,7.979689
360050019004003,-73.90467136,40.8053401,35.26617773,2.097392
360050019004004,-73.90791657,40.80060224,14.53219345,0.600736
360050019004005,-73.90962808,40.79882198,53.25405768,0.204658
360050019004006,-73.9129781,40.79793526,180.9413988,4.857174
360050019004007,-73.91658792,40.79887325,74.76066644,0.437647
360050019004008,-73.92266316,40.80246715,23.08031395,0.879735
360050019004009,-73.92894885,40.80597645,10.8654352,0.639192
360050019004010,-73.91233324,40.79916464,19.32438841,0.121289
