STATE,COUNTY,VOLNODRSCOREMALE1112,VOLNODRSCOREFEMALE1112,VOLNODRSCOREMALE1826,VOLNODRSCOREFEMALE1826,VOLDRSCOREMALE1112,VOLDRSCOREFEMALE1112,VOLDRSCOREMALE1826,VOLDRSCOREFEMALE1826,NORMNODRSCOREMALE1112,NORMNODRSCOREFEMALE1112,NORMNODRSCOREMALE1826,NORMNODRSCOREFEMALE1826,NORMDRSCOREMALE1112,NORMDRSCOREFEMALE1112,NORMDRSCOREMALE1826,NORMDRSCOREFEMALE1826,VOLNODRSCOREBOTH1112,VOLNODRSCOREBOTH1826,VOLDRSCOREBOTH1112,VOLDRSCOREBOTH1826,NORMNODRSCOREBOTH1112,NORMNODRSCOREBOTH1826,NORMDRSCOREBOTH1112,NORMDRSCOREBOTH1826
1,87,196.7451028,212.1669279,517.3321349,587.4313401,0.028730301,0.03098232,0.075544996,0.085781446,0.001762265,0.00198406,0.003908534,0.00456023,0.002929565,0.003242601,0.007887533,0.009210556,204.4560154,552.3817375,0.029856311,0.080663221,0.001873162,0.004234382,0.003086083,0.008549044
1,89,5044.436319,4875.100117,5462.874985,5351.023968,0.736629135,0.711901302,0.797732913,0.781399528,0.04565588,0.045851731,0.04127297,0.04156668,0.075259967,0.074588368,0.083290028,0.083910911,4959.768218,5406.949476,0.724265219,0.78956622,0.045753806,0.041419825,0.074924167,0.08360047
1,91,290.9089851,279.844301,273.389902,283.9935575,0.042480868,0.040865114,0.039922591,0.041471022,0.002614875,0.002620751,0.002065508,0.002202943,0.004334545,0.004278107,0.004168254,0.004452191,285.376643,278.6917297,0.041672991,0.040696806,0.002617813,0.002134226,0.004306326,0.004310223
1,93,426.0233981,390.3332089,386.7190125,346.5110778,0.062211361,0.056999592,0.056471818,0.050600333,0.003838274,0.003660202,0.002921729,0.002688616,0.006350532,0.005968656,0.005896133,0.005432561,408.1783035,366.6150451,0.059605477,0.053536076,0.003749238,0.002805173,0.006159594,0.005664347
1,95,1482.148525,1403.227802,1287.882129,1141.748703,0.21643524,0.204910602,0.1880669,0.166727322,0.013401002,0.013189253,0.009730173,0.0088665,0.022108539,0.021466571,0.019635767,0.017903092,1442.688163,1214.815416,0.210672921,0.177397111,0.013295127,0.009298337,0.021787555,0.01876943
1,97,5925.745323,5700.585222,6000.79869,6186.046018,0.86532496,0.832445272,0.876284855,0.903336159,0.053635728,0.053617681,0.045337077,0.048053633,0.088409615,0.087218802,0.091491512,0.097005323,5813.165273,6093.422354,0.848885116,0.889810507,0.053626705,0.046695355,0.087814208,0.094248418
1,99,334.7186693,309.1436503,309.5923349,289.850215,0.04887831,0.045143641,0.045209161,0.042326258,0.003011552,0.002896392,0.002339024,0.002248441,0.004988212,0.004726405,0.004720217,0.004544032,321.9311598,299.7212749,0.047010975,0.04376771,0.002953972,0.002293732,0.004857308,0.004632125
1,101,3175.644942,3074.41846,3724.328306,3797.784692,0.463733198,0.448951294,0.543856353,0.554583045,0.028734833,0.028911383,0.028137948,0.029500184,0.047376501,0.047036823,0.056783179,0.059553764,3125.031701,3761.056499,0.456342246,0.549219699,0.028823108,0.028819066,0.047206662,0.058168472
1,103,1783.579602,1668.879949,1529.034603,1514.917723,0.260452629,0.243703264,0.223281922,0.221220462,0.016130322,0.01568844,0.011552122,0.011765501,0.026606068,0.025531213,0.023312511,0.023754948,1726.229776,1521.976163,0.252077946,0.222251192,0.015909381,0.011658812,0.026068641,0.02353373
1,105,139.9347889,141.3294878,199.4419416,204.5558376,0.020434403,0.020638068,0.029124115,0.029870887,0.001247873,0.001317639,0.001506819,0.001585823,0.002081922,0.002158745,0.003040803,0.003206487,140.6321383,201.9988896,0.020536235,0.029497501,0.001282756,0.001546321,0.002120333,0.003123645
1,107,276.6792242,230.716226,326.2471634,247.3890783,0.040402924,0.033691038,0.047641233,0.036125742,0.002486031,0.002158567,0.002464854,0.001918577,0.004122229,0.003526417,0.004974146,0.003878177,253.6977251,286.8181209,0.037046981,0.041883487,0.002322299,0.002191716,0.003824323,0.004426161
1,109,374.2577502,359.9320946,1271.401926,1291.099703,0.054652125,0.052560177,0.185660328,0.188536756,0.00336956,0.003374196,0.009605663,0.010026749,0.005578158,0.0055035,0.0193845,0.020245142,367.0949224,1281.250815,0.053606151,0.187098542,0.003371878,0.009816206,0.005540829,0.019814821
1,111,320.0968545,308.3914843,297.1363206,287.2317766,0.046743115,0.045033803,0.043390234,0.041943893,0.002879158,0.002889316,0.002244917,0.002228099,0.004770046,0.004714897,0.004530305,0.004502971,314.2441694,292.1840486,0.045888459,0.042667063,0.002884237,0.002236508,0.004742471,0.004516638
1,113,853.4420213,833.4678463,857.527648,874.3241133,0.124626463,0.121709674,0.125223079,0.127675834,0.007708353,0.007829098,0.00647877,0.006788985,0.012727869,0.01274889,0.013074343,0.013709469,843.4549338,865.9258806,0.123168069,0.126449457,0.007768726,0.006633878,0.01273838,0.013391906
1,115,1319.587191,1232.754484,1091.48262,984.403946,0.192696728,0.180016718,0.159387065,0.143750576,0.011929084,0.011585484,0.008246341,0.007644152,0.019683029,0.018858223,0.016641351,0.015435688,1276.170838,1037.943283,0.186356723,0.151568821,0.011757284,0.007945246,0.019270626,0.016038519
1,117,3329.385793,3205.698912,2668.544457,2643.365342,0.486183673,0.46812192,0.38968231,0.386005453,0.030126886,0.030146435,0.020161317,0.020531961,0.049670405,0.049045495,0.040686112,0.041450718,3267.542352,2655.954899,0.477152797,0.387843881,0.030136661,0.020346639,0.04935795,0.041068415
1,119,149.2633005,159.7299343,387.2654533,476.9144478,0.021796627,0.023325049,0.056551614,0.069642881,0.001332339,0.001490746,0.002925858,0.003701668,0.002221108,0.002440283,0.005904464,0.007477483,154.4966174,432.0899505,0.022560838,0.063097247,0.001411542,0.003313763,0.002330696,0.006690974
1,121,1166.263147,1182.061134,1150.000514,1118.40454,0.170307118,0.172614068,0.167932318,0.16331842,0.010540805,0.011108574,0.008688454,0.008685149,0.017395344,0.018082584,0.017533547,0.01753702,1174.162141,1134.202527,0.171460593,0.165625369,0.010824689,0.008686801,0.017738964,0.017535284
1,123,547.8418591,516.4976731,545.1162777,508.320929,0.080000271,0.075423142,0.07960226,0.074229108,0.004941284,0.004847125,0.004118448,0.003945653,0.008168135,0.00789905,0.008311146,0.007969984,532.1697661,526.7186034,0.077711707,0.076915684,0.004894205,0.00403205,0.008033593,0.008140565
1,125,2742.636218,2614.824941,5670.29887,5910.694811,0.400501784,0.381837754,0.828022615,0.863127163,0.024814138,0.024587646,0.042840094,0.04591454,0.040915757,0.040004757,0.086452528,0.092687399,2678.73058,5790.496841,0.391169769,0.845574889,0.024700892,0.044377317,0.040460257,0.089569963
1,127,936.8354289,843.0165704,861.0586585,797.4602977,0.136804239,0.123104055,0.125738706,0.116451562,0.008463442,0.00791893,0.006505448,0.006191861,0.013972147,0.012894992,0.013128179,0.012504128,889.9259996,829.2594781,0.129954147,0.121095134,0.008191186,0.006348654,0.01343357,0.012816153
1,129,260.9935561,241.1165634,241.9807805,205.2515549,0.038112377,0.035209779,0.035335978,0.029972482,0.002344005,0.00225641,0.001828207,0.001591228,0.00388819,0.003685549,0.003689373,0.003217397,251.0550597,223.6161677,0.036661078,0.03265423,0.002300208,0.001709717,0.003786869,0.003453385
1,131,178.149163,182.3684853,165.9600098,167.3664505,0.026014773,0.026630912,0.024234815,0.024440194,0.001593887,0.001703724,0.001253857,0.001296913,0.002652103,0.002786667,0.002530319,0.002623301,180.2588242,166.6632302,0.026322842,0.024337504,0.001648805,0.001275385,0.002719385,0.00257681
1,133,313.3850524,309.8389698,274.8214038,264.6264163,0.045763004,0.045245177,0.04013163,0.038642876,0.002818386,0.002902933,0.002076323,0.002052487,0.004669901,0.004737044,0.00419008,0.004148485,311.6120111,269.72391,0.04550409,0.039387253,0.002860659,0.002064405,0.004703473,0.004169282
2,13,12.00955816,9.722023272,67.19633732,16.87056979,0.011625903,0.009411446,0.065049697,0.016331626,8.95691E-05,7.95104E-05,0.00050768,0.000127771,0.001181903,0.000982434,0.006791736,0.001752546,10.86579072,42.03345356,0.010518674,0.040690662,8.45397E-05,0.000317725,0.001082169,0.004272141
2,16,29.04283361,34.16803954,96.6955519,47.83525536,0.028115037,0.033076515,0.093606536,0.04630712,0.000243798,0.000309492,0.000730552,0.000368323,0.0028667,0.003462028,0.00977331,0.004971525,31.60543658,72.26540363,0.030595776,0.069956828,0.000276645,0.000549437,0.003164364,0.007372418
2,20,4048.84059,3873.364,5489.680482,4241.220889,3.919497183,3.749626331,5.314308308,4.105731741,0.036641219,0.036427656,0.04147549,0.032945063,0.40047328,0.392877073,0.554858501,0.440901054,3961.102295,4865.450685,3.834561757,4.710020025,0.036534437,0.037210277,0.396675176,0.497879778
2,50,310.6873808,298.5396515,238.5372308,249.5806211,0.300762227,0.289002567,0.230916971,0.241607571,0.002793959,0.002796632,0.00180219,0.001935602,0.030724749,0.030277613,0.024109675,0.025944259,304.6135161,244.0589259,0.294882397,0.236262271,0.002795296,0.001868896,0.030501181,0.025026967
2,60,7.614202252,8.339364371,14.50324238,12.69033709,0.007370961,0.008072957,0.014039925,0.012284934,4.97711E-05,6.65027E-05,0.000109575,9.52963E-05,0.000747149,0.000842189,0.001465886,0.001317984,7.976783311,13.59678974,0.007721959,0.01316243,5.81369E-05,0.000102435,0.000794669,0.001391935
2,68,21.08248829,15.16459684,22.19209294,14.05499219,0.020408992,0.014680152,0.021483149,0.013605994,0.00017172,0.000130713,0.000167665,0.000105898,0.002079325,0.001534482,0.002243022,0.001459849,18.12354256,18.12354256,0.017544572,0.017544572,0.000151216,0.000136781,0.001806904,0.001851435
2,70,73.50335291,69.29222332,74.26901284,73.12052295,0.07115523,0.067078629,0.071896431,0.07078463,0.000646367,0.000639931,0.000561115,0.000564754,0.007264382,0.007024724,0.007506592,0.007600092,71.39778811,73.69476789,0.069116929,0.07134053,0.000643149,0.000562935,0.007144553,0.007553342
2,90,1231.802392,1179.815887,2874.734707,1613.962735,1.192451493,1.142125737,2.782899039,1.562403422,0.011134233,0.011087451,0.02171912,0.012534943,0.121834156,0.1196667,0.290558074,0.167780595,1205.80914,2244.348721,1.167288615,2.17265123,0.011110842,0.017127032,0.120750428,0.229169335
2,100,25.40766104,32.66699277,22.50392835,17.42239614,0.024595993,0.03162342,0.021785023,0.016865824,0.000210883,0.000295371,0.000170021,0.000132058,0.002507137,0.003309775,0.00227454,0.001809912,29.03732691,19.96316225,0.028109707,0.019325423,0.000253127,0.000151039,0.002908456,0.002042226
2,105,17.27470732,26.08833351,17.62725237,11.98653161,0.016722853,0.025254921,0.017064136,0.011603612,0.000137243,0.00023348,0.000133177,8.98288E-05,0.00170269,0.002642492,0.001781639,0.001244819,21.68152042,14.80689199,0.020988887,0.014333874,0.000185361,0.000111503,0.002172591,0.001513229
2,110,371.8680551,384.0282975,429.9234055,393.8349445,0.359988437,0.371760211,0.416189163,0.381253576,0.003347922,0.003600887,0.003248146,0.003056257,0.036776257,0.038948846,0.04345365,0.040940428,377.9481763,411.879175,0.365874324,0.39872137,0.003474405,0.003152201,0.037862552,0.042197039
2,122,724.7312308,682.7013632,699.3618512,575.1654856,0.70157912,0.660891929,0.677020185,0.55679137,0.006542936,0.006410726,0.0052838,0.004464941,0.07167869,0.069243675,0.070686604,0.05979091,703.716297,637.2636684,0.681235525,0.616905778,0.006476831,0.004874371,0.070461183,0.065238757
2,130,167.7302522,159.1287008,189.6251103,144.2714757,0.162371977,0.154045209,0.183567387,0.13966261,0.001499548,0.00148509,0.001432651,0.001117498,0.016584561,0.016136964,0.01916598,0.014996693,163.4294765,166.948293,0.158208593,0.161614998,0.001492319,0.001275074,0.016360763,0.017081337
2,150,170.5680576,160.7813658,188.3938177,145.4022786,0.165119126,0.155645078,0.182375429,0.140757288,0.001525243,0.001500638,0.001423348,0.001126282,0.016865255,0.016304596,0.019041529,0.015114248,165.6747117,166.8980482,0.160382102,0.161566358,0.001512941,0.001274815,0.016584925,0.017077888
2,158,163.4243666,150.0289267,118.2625978,123.6207738,0.158203646,0.145236134,0.114484606,0.119671611,0.001460561,0.001399481,0.000893494,0.000957071,0.016158657,0.015213961,0.011953156,0.01284992,156.7266467,120.9416858,0.15171989,0.117078108,0.001430021,0.000925283,0.015686309,0.012401538
2,164,19.28520802,20.30021897,21.31522991,20.30021897,0.018669127,0.019651712,0.020634298,0.019651712,0.000155447,0.000179027,0.00016104,0.000154414,0.001901552,0.002055396,0.002154394,0.00210908,19.79271349,20.80772444,0.01916042,0.020143005,0.000167237,0.000157727,0.001978474,0.002131737
2,170,1639.91738,1496.798713,1396.270319,1167.203713,1.587528925,1.448982297,1.351665362,1.12991647,0.014829526,0.014069544,0.010549065,0.00906425,0.162201661,0.151818714,0.141125237,0.121337108,1568.358046,1281.737016,1.518255611,1.240790916,0.014449535,0.009806658,0.157010187,0.131231172
2,180,169.4754673,166.8566411,140.6683791,128.6966021,0.16406144,0.161526274,0.136174617,0.124585288,0.00151535,0.001557792,0.001062774,0.000996503,0.016757184,0.01692082,0.014217776,0.013377585,168.1660542,134.6824906,0.162793857,0.130379952,0.001536571,0.001029638,0.016839002,0.01379768
2,185,118.569829,116.7895013,121.0622879,82.25114266,0.114782022,0.113058569,0.117194858,0.079623565,0.001054423,0.001086774,0.000914647,0.000635686,0.011722001,0.011842439,0.012236129,0.008549279,117.6796651,101.6567153,0.113920295,0.098409211,0.001070598,0.000775167,0.01178222,0.010392704
