STATEFIP,COUNTYFIPS,totalpop,targage1wtd,targage2wtd,malewtd,femalewtd,targ1wtd,targ2wtd,coveredwtd,insurlikelywtd,likelytarg1wtd,targage1pp,targage2pp,malepp,femalepp,targ1pp,targ2pp,coveredpp,insurlikelypp,likelytarg1pp
37,67,743022,34934,30386,172793,191729,17336,16132,317516,118133,0,3,3,3,3,3,3,3,3,0
22,17,497702,23396,20039,120417,132909,11318,10220,218375,105754,0,2,2,1,2,2,2,2,2,0
9,9,1713750,80511,74028,415543,445198,39348,37092,799492,312559,0,8,8,7,8,8,8,9,8,0
34,13,1593828,74854,63452,380846,411673,37076,31382,675157,270620,0,7,6,7,7,7,6,7,7,0
6,59,6345064,297968,266720,1547426,1585311,146960,130660,2749236,931342,0,31,29,31,30,32,29,32,26,0
53,11,934036,43860,32005,222965,228017,21619,15771,408604,149227,0,4,3,4,4,4,3,4,4,0
31,153,358046,16809,12494,86408,86050,8139,5798,164343,33765,0,1,1,1,1,1,1,1,0,0
6,87,549346,25728,34387,134649,136579,12668,17201,244794,87072,0,2,3,2,2,2,3,2,2,0
13,59,249414,11681,28687,57715,64205,6665,15005,102754,30615,0,0,3,0,0,1,3,0,0,0
19,113,443322,20749,18017,107874,109933,10305,8717,205541,65340,0,1,1,1,1,1,1,1,1,0
51,650,270820,12670,14467,65998,70849,6444,6867,120716,43211,0,1,1,0,0,1,1,0,1,0
18,81,303964,14214,11015,72187,75197,6663,5784,132703,36977,0,1,1,0,1,1,1,1,0,0
31,55,1109990,51904,43449,267554,275523,25893,21587,485492,141831,0,5,4,4,4,5,4,5,3,0
42,43,547414,25592,18815,131474,139629,11888,9177,249196,91053,0,2,1,2,2,2,1,2,2,0
47,149,616502,28815,33501,143613,146868,14383,16239,258249,71361,0,2,3,2,2,2,3,2,1,0
41,47,672632,31400,27037,161463,164958,15543,13099,288107,131809,0,3,2,2,2,3,2,2,3,0
6,61,761062,35518,24041,181082,189483,17013,11496,341767,108052,0,3,2,3,3,3,2,3,2,0
13,21,305520,14248,13851,72957,81776,7280,7479,129272,61812,0,1,1,0,1,1,1,1,1,0
51,87,653002,30409,21786,151654,170253,15477,10898,290515,81673,0,2,2,2,2,3,2,2,2,0
34,5,898568,41834,33784,221634,228298,19740,14924,418997,119902,0,4,3,4,4,4,3,4,3,0
34,39,1111260,51720,41447,268019,282275,24693,20386,470382,159316,0,5,4,4,5,5,4,5,4,0
37,71,433930,20176,14875,102365,109465,9857,7361,182930,78101,0,1,1,1,1,1,1,1,2,0
55,79,1902896,88454,85961,462585,493026,44101,43488,861204,371746,0,9,9,8,9,9,9,9,10,0
37,35,312918,14544,10908,75866,79150,7216,5352,134759,56184,0,1,1,1,1,1,1,1,1,0
39,23,269572,12523,10419,66016,70227,6538,5226,124652,59276,0,1,1,0,0,1,1,1,1,0
55,87,369052,17141,13497,90706,91162,8441,6520,172204,47102,0,1,1,1,1,1,1,1,1,0
36,55,1495454,69446,69250,362906,386568,33747,34109,709095,270691,0,7,7,6,7,7,7,7,7,0
36,59,2723000,126400,103069,658425,697865,61757,50675,1265533,357824,0,13,11,12,13,13,11,14,9,0
13,77,281052,13039,9171,66240,69389,6431,4722,120804,34608,0,1,0,0,0,1,0,0,0,0
29,71,205676,9541,6764,50758,51233,4080,3340,92694,30029,0,0,0,0,0,0,0,0,0,0
26,77,523308,24270,36250,126486,132185,11860,18188,238292,85785,0,2,3,2,2,2,3,2,2,0
9,7,326658,15145,12081,80477,84187,7338,5897,156305,46986,0,1,1,1,1,1,1,1,1,0
45,83,602926,27873,24452,142382,152070,13988,12677,250982,105087,0,2,2,2,2,2,2,2,2,0
26,125,2487940,114981,85256,600993,633752,55745,41482,1148859,334437,0,12,9,11,12,12,9,13,9,0
48,245,509358,23537,22191,129981,123575,11336,10436,191716,81818,0,2,2,2,1,2,2,1,2,0
34,7,1020300,47122,39230,247458,263569,22930,19426,460102,174375,0,4,4,4,4,4,4,5,4,0
23,1,214638,9902,7864,52487,54786,4710,4182,98637,41204,0,0,0,0,0,0,0,0,1,0
47,189,265562,12243,8234,61616,64075,5990,3927,115831,36155,0,1,0,0,0,1,0,0,0,0
55,73,271206,12502,8974,68250,67262,6001,4261,126229,42631,0,1,0,0,0,1,0,1,1,0
39,61,1618198,74582,66147,388424,417660,36360,33117,738864,274421,0,7,7,7,7,7,7,8,7,0
17,167,394998,18198,14218,95273,103427,8596,7370,185350,71084,0,1,1,1,1,1,1,1,1,0
40,27,557310,25674,35464,136174,135940,13040,17124,240090,70117,0,2,3,2,2,2,3,2,1,0
1,55,205128,9447,7593,49695,53673,4626,3731,91123,40856,0,0,0,0,0,0,0,0,0,0
18,95,258592,11908,9871,65274,64893,5768,4722,110533,50315,0,0,0,0,0,0,0,0,1,0
6,67,3028920,139390,121549,722792,756753,68682,59669,1319187,549168,0,14,13,14,14,14,13,15,15,0
17,179,268770,12362,8548,67218,68303,6203,4054,126476,43885,0,1,0,0,0,1,0,1,1,0
47,165,360126,16559,11626,84456,88324,7827,5628,155809,52216,0,1,1,1,1,1,1,1,1,0
29,19,353188,16234,31456,83904,88937,7908,16668,158802,37261,0,1,3,1,1,1,3,1,0,0
17,113,344836,15837,26662,84735,88669,7593,13821,164248,42706,0,1,2,1,1,1,2,1,1,0
39,57,329530,15134,18489,80472,84128,7662,9544,154277,51142,0,1,1,1,1,1,1,1,1,0
29,183,781836,35902,28145,186693,193058,18043,13731,355337,77454,0,3,2,3,3,3,2,3,2,0
6,37,20275830,930604,906475,4955493,5102007,456357,445271,8467208,3545070,0,100,100,100,100,100,100,100,100,0
19,163,344948,15831,12256,84250,86852,7699,6034,160457,56952,0,1,1,1,1,1,1,1,1,0
36,63,423516,19434,16674,103764,109638,9358,8006,202237,82968,0,1,1,1,1,1,1,1,2,0
45,7,393138,18030,13683,92895,99509,9012,6781,167186,69458,0,1,1,1,1,1,1,1,1,0
37,159,279866,12824,10591,68447,70172,6129,5225,119728,56029,0,1,1,0,0,1,1,0,1,0
12,117,910958,41736,35212,213827,229108,19703,17516,382297,121288,0,4,3,3,4,4,3,4,3,0
55,127,205918,9426,10934,51580,51302,4610,5275,93815,32396,0,0,1,0,0,0,1,0,0,0
42,91,1643450,75204,54099,395781,419409,37476,26760,771552,212012,0,7,5,7,7,7,5,8,5,0
13,185,229256,10490,17962,55702,58039,5348,9159,93045,34311,0,0,1,0,0,0,1,0,0,0
36,89,220076,10067,13851,56753,54745,5182,6450,99624,43850,0,0,1,0,0,0,1,0,1,0
42,71,1077000,49219,42700,260091,272568,24666,20928,468329,166643,0,5,4,4,4,5,4,5,4,0
22,33,894074,40813,57300,213105,231895,21089,29383,392021,136729,0,4,6,3,4,4,6,4,3,0
36,13,259008,11820,11867,65163,66474,5755,5695,121155,57521,0,0,1,0,0,0,1,0,1,0
18,35,231206,10551,20395,56107,60435,5071,10716,102862,39152,0,0,2,0,0,0,2,0,0,0
36,83,320140,14582,14359,79395,80541,6783,6371,151353,52374,0,1,1,1,1,1,1,1,1,0
42,49,552414,25133,25219,138022,141203,11763,12564,259300,107571,0,2,2,2,2,2,2,2,2,0
48,441,273070,12414,17655,66454,68857,6293,8450,114453,43642,0,1,1,0,0,1,1,0,1,0
10,3,1113974,50623,47616,267068,284739,24826,23614,511309,171346,0,5,5,4,5,5,5,5,4,0
37,57,329852,14987,10982,80060,83955,7502,5324,143361,61773,0,1,1,1,1,1,1,1,1,0
37,151,286832,13029,9712,70449,72144,6145,4717,120522,51830,0,1,0,0,0,1,0,0,1,0
26,75,316920,14392,12347,81703,77808,6971,5979,141886,62418,0,1,1,1,1,1,1,1,1,0
34,3,1878302,85296,61842,449941,480226,42591,30191,835592,224048,0,8,6,8,9,9,6,9,6,0
42,19,373694,16962,13932,91895,93983,8532,6640,175222,54203,0,1,1,1,1,1,1,1,1,0
44,9,252576,11463,16105,60919,65579,5783,8169,120446,36993,0,0,1,0,0,0,1,0,0,0
6,13,2270254,103008,79420,540778,567231,49814,38287,1015320,333035,0,10,8,10,10,10,8,11,9,0
17,163,525518,23827,21147,127870,137686,12140,10666,239570,97889,0,2,2,2,2,2,2,2,2,0
42,133,887488,40228,31763,217702,223166,19891,15238,407726,141017,0,4,3,3,3,4,3,4,3,0
36,85,952030,43153,37672,229075,244240,21335,18943,442658,157094,0,4,4,4,4,4,4,4,4,0
37,191,248300,11253,10570,60866,63501,5670,4794,106432,48050,0,0,1,0,0,0,0,0,1,0
