STATE,COUNTY,STATENAME,TOTAL,NUMM1112,NUMF1112,NUMM1826,NUMF1826,PPM1112,PPF1112,PPM1826,PPF1826,INITM1112,INITF1112,INITM1826,INITF1826
37,155,NC,2421686,0.015134269,0.015150826,0.011618647,0.012388352,0.534781955,0.60840361,0.166245549,0.290494123,0.382541025,0.324384335,0.352017641,0.429774748
37,157,NC,1667134,0.009070494,0.008909945,0.00614154,0.006563327,0.465579229,0.519730058,0.10788431,0.194652506,0.308734105,0.255666087,0.25782645,0.299340594
37,159,NC,2493542,0.014222186,0.013931062,0.010978211,0.011096976,0.488070789,0.543301407,0.145532334,0.236366732,0.375042387,0.302335208,0.301277519,0.347201863
37,161,NC,1208466,0.006585924,0.006685958,0.004373744,0.004633836,0.466353689,0.538025068,0.104531062,0.186380139,0.287783285,0.2512666,0.24315096,0.292496397
37,163,NC,1145426,0.00708324,0.007058255,0.00463657,0.00474247,0.52917351,0.599243923,0.127008375,0.211275961,0.456723189,0.374287184,0.372867057,0.426391431
37,165,NC,646544,0.0038584,0.003572516,0.002848848,0.002915643,0.510672271,0.537340244,0.145898748,0.241489152,0.315632699,0.238117046,0.274518858,0.326240556
37,167,NC,1090506,0.006042969,0.005846889,0.004860666,0.004661942,0.474193396,0.521398871,0.148474281,0.222243275,0.306829351,0.272141335,0.266831841,0.315588539
37,169,NC,843220,0.004521489,0.004633423,0.002991557,0.003055003,0.458853115,0.534360513,0.100839617,0.169270861,0.264184467,0.23382582,0.251548514,0.292698221
37,171,NC,1317314,0.007572504,0.007611103,0.004956788,0.004919256,0.491907367,0.561864481,0.112045403,0.17821315,0.357107752,0.292032362,0.31045672,0.359750222
37,173,NC,254294,0.001385239,0.001347129,0.001039236,0.001136579,0.466145616,0.515164949,0.129517556,0.238854161,0.286189788,0.244576622,0.268102911,0.299224827
37,175,NC,594710,0.002530208,0.00250601,0.002192555,0.002086617,0.364069374,0.409779996,0.108201984,0.160094006,0.224109069,0.194085535,0.2429343,0.249572331
37,177,NC,76414,0.00034631,0.000305116,0.000495903,0.000243626,0.387815174,0.3882981,0.256897179,0.137001238,0.306677211,0.190843642,0.197100576,0.218665921
37,179,NC,3795998,0.02974706,0.029339417,0.013162908,0.013381057,0.670580949,0.751620767,0.096492771,0.161059706,0.522639343,0.432513627,0.407550872,0.491147995
