STATE,COUNTY,TOTAL,NUM.M11-12,NUM.F11-12,NUM.M11-12,PP.F11-12,PP.M11-12,PPF11-12,PP.M18-26,PP.F18-26
2,275,42982,358,310,1187,1002,0.008329068,0.007212321,0.027616211,0.023312084
2,282,11604,83,102,426,312,0.007152706,0.008790072,0.036711479,0.02688728
2,290,100984,984,950,3636,2922,0.009744118,0.009407431,0.036005704,0.028935277
4,1,1297830,14082,14100,43728,40260,0.01085042,0.010864289,0.033693165,0.031021012
4,3,2336704,18320,17797,84797,67017,0.007840103,0.007616283,0.036289149,0.028680141
4,5,2455974,19399,18559,124494,125883,0.007898699,0.007556676,0.050690276,0.051255836
4,7,960224,6926,6793,23823,22421,0.0072129,0.007074391,0.024809836,0.02334976
4,9,672614,6451,6391,29814,22162,0.009590939,0.009501735,0.044325572,0.032949061
4,11,159836,1739,1534,5352,4980,0.010879902,0.009597337,0.033484321,0.031156936
4,12,366888,2296,2064,8134,7249,0.006258041,0.005625695,0.022170254,0.019758073
4,13,71547278,650613,625318,2599234,2491610,0.00909347,0.008739927,0.036328901,0.034824665
4,15,3643062,25961,25039,92528,84383,0.007126148,0.006873064,0.025398415,0.023162658
4,17,1942268,19921,19007,63845,56713,0.010256566,0.009785982,0.032871365,0.029199369
4,19,17893922,141069,136090,681623,646258,0.007883627,0.007605376,0.038092432,0.036116062
4,21,6993936,61784,59589,250005,185271,0.008833938,0.008520095,0.035745966,0.026490234
4,23,845164,9063,9004,23358,23930,0.010723363,0.010653554,0.02763724,0.028314031
4,25,3874506,26298,24656,94116,85309,0.006787446,0.00636365,0.024291097,0.022018033
4,27,3615140,33912,33267,154553,119742,0.00938055,0.009202133,0.042751595,0.033122369
5,1,337552,2843,2648,9249,9819,0.008422406,0.007844717,0.027400223,0.029088851
5,3,384280,3330,3175,10147,10781,0.008665556,0.008262205,0.026405225,0.028055064
5,5,741608,4956,4556,15576,16423,0.006682776,0.006143407,0.02100301,0.022145122
5,7,4240422,41113,40087,136132,137555,0.009695497,0.00945354,0.032103409,0.032438988
5,9,668530,5844,5118,18990,18722,0.008741567,0.007655603,0.028405606,0.028004727
5,11,202852,1616,1639,6031,5828,0.007966399,0.008079782,0.029731035,0.028730306
5,13,94818,658,629,3192,2397,0.006939611,0.006633762,0.033664494,0.02528001
5,15,496646,4057,4056,13199,12241,0.008168796,0.008166783,0.026576274,0.024647334
5,17,206038,1589,1584,6734,5232,0.00771217,0.007687902,0.032683291,0.025393374
5,19,410588,2693,2829,20493,21083,0.006558886,0.006890119,0.049911347,0.05134831
5,21,280106,2373,2122,7440,7133,0.008471793,0.007575703,0.026561373,0.02546536
5,23,463634,3371,3312,11456,10597,0.007270821,0.007143566,0.024709146,0.022856391
5,25,153666,1302,1383,4159,4093,0.008472922,0.009000039,0.027065193,0.02663569
5,27,438778,3422,3287,17519,17953,0.007798932,0.00749126,0.039926797,0.040915907
5,29,380450,3254,3037,10869,11078,0.008553029,0.007982652,0.0285688,0.02911815
5,31,1804808,15868,14602,73893,74948,0.008792071,0.008090611,0.040942305,0.041526855
5,33,1114678,10828,10329,33125,33153,0.009714016,0.009266353,0.029717102,0.029742222
5,35,901648,9107,8666,27624,31730,0.010100394,0.00961129,0.030637233,0.035191117
5,37,315918,2859,2710,8629,8815,0.009049817,0.008578175,0.02731405,0.02790281
5,39,142132,1346,1192,3897,3595,0.00947007,0.00838657,0.027418175,0.025293389
5,41,225718,1978,2021,6067,6995,0.008763147,0.00895365,0.026878672,0.030989996
5,43,335670,2815,2686,13304,12849,0.008386213,0.008001907,0.039634165,0.038278667
