STATEFIP,COUNTYFIPS,totalpop,targage1wtd,targage2wtd,malewtd,femalewtd,targ1wtd,targ2wtd,coveredwtd,insurlikelywtd,likelytarg1wtd,targage1pp,targage2pp,malepp,femalepp,targ1pp,targ2pp,coveredpp,insurlikelypp,likelytarg1pp
13,15,207614,10475,7159,50634,51360,4957,3598,85391,33945,0,-0.494298182,-0.52541585,-0.504744651,-0.5105888,-0.499123032,-0.522379814,-0.530686764,-0.474558704,0
18,127,335582,16883,13309,82108,84808,8342,6547,152272,44889,0,-0.401414019,-0.429853097,-0.418588548,-0.422125131,-0.399005028,-0.429080709,-0.425154867,-0.431271957,0
48,339,1112406,55958,35850,256388,262468,27195,16951,439444,125525,0,0.164979342,-0.079596183,0.058480953,0.047752153,0.15860937,-0.099923741,0.027975407,-0.112332806,0
13,139,393274,19769,15279,94770,95783,9735,7451,154327,58322,0,-0.359581358,-0.399241939,-0.383927922,-0.39309832,-0.357804325,-0.400480372,-0.421912271,-0.378140482,0
55,9,520802,26167,20423,127732,128694,12647,10002,238491,80939,0,-0.266842146,-0.319311076,-0.293698607,-0.306054916,-0.271676222,-0.319773008,-0.289109434,-0.28868358,0
24,27,634466,31865,20786,150736,157686,15280,10393,293279,63848,0,-0.184249456,-0.313670543,-0.230728061,-0.229376529,-0.19380009,-0.307402729,-0.202659148,-0.356283523,0
17,37,209056,10471,18372,52024,52521,5514,9206,95895,29002,0,-0.494356162,-0.351180866,-0.500939701,-0.507518173,-0.482648666,-0.344956489,-0.514112445,-0.494109726,0
9,1,1888354,94574,68584,458778,482483,45394,33714,842220,270892,0,0.724719483,0.429046282,0.612498032,0.629650446,0.696880436,0.430416344,0.663517868,0.462636532,0
27,163,506234,25340,15933,123204,125672,12729,7685,237674,57720,0,-0.278829537,-0.389079656,-0.306093436,-0.314047537,-0.269250911,-0.393077188,-0.290398583,-0.38052157,0
39,89,344396,17238,12610,83017,86648,8645,6269,157075,57852,0,-0.396268283,-0.44071462,-0.416100276,-0.417258677,-0.390043209,-0.437875945,-0.417576187,-0.379999471,0
22,103,507204,25373,15793,119880,126339,12823,7540,215956,79971,0,-0.278351201,-0.391255068,-0.315192466,-0.312283448,-0.266470677,-0.397664631,-0.324667534,-0.292512305,0
34,37,285044,14215,10160,72087,73012,6879,4932,134326,36308,0,-0.440086764,-0.478784334,-0.446019771,-0.453323332,-0.442276118,-0.480175336,-0.453471959,-0.465212342,0
48,303,606274,30215,44854,145242,149433,15060,21553,245992,85312,0,-0.208166258,0.060313903,-0.245767192,-0.251204161,-0.200307021,0.045672218,-0.277273565,-0.271387076,0
39,17,755074,37619,38146,183275,190722,18575,19222,345923,113423,0,-0.100845044,-0.043919422,-0.141656656,-0.142002522,-0.096344012,-0.028074888,-0.119591892,-0.160199784,0
48,439,4033744,200896,157944,953946,993333,98363,79164,1591027,503335,0,2.265860236,1.817580854,1.967957931,1.980752611,2.263542348,1.868342542,1.845064541,1.382017121,0
48,355,722700,35933,31619,174952,180636,17619,15705,289852,119970,0,-0.125283667,-0.14534025,-0.164439817,-0.168678095,-0.124619584,-0.139344116,-0.20806663,-0.134304469,0
48,251,326548,16236,11780,78490,79135,7745,5767,126983,44458,0,-0.410792305,-0.453611707,-0.428492367,-0.437129149,-0.416662472,-0.45375799,-0.465058519,-0.432976689,0
24,13,335312,16665,12717,82773,84922,8215,6130,159159,42390,0,-0.404573936,-0.439051983,-0.416768195,-0.421823623,-0.402761301,-0.442273563,-0.414287832,-0.441156239,0
13,45,232522,11530,13139,55700,58096,5983,6839,95157,37479,0,-0.479005924,-0.432494669,-0.490877115,-0.492773347,-0.468777073,-0.419842547,-0.515276939,-0.460580692,0
42,29,1032624,51143,38923,252878,258918,24936,19021,477929,118925,0,0.095185764,-0.031845884,0.048872772,0.038363071,0.091795021,-0.034434033,0.0887011,-0.138437752,0
17,91,220016,10886,9863,54823,56529,5454,4882,102137,39684,0,-0.488340724,-0.483399316,-0.493277792,-0.496917767,-0.484423284,-0.481757213,-0.504263159,-0.451859267,0
26,115,298416,14761,10235,73787,76173,7357,4777,139592,46813,0,-0.432172477,-0.477618935,-0.441366236,-0.444963082,-0.428138332,-0.485079155,-0.445162709,-0.42366197,0
6,111,1699476,84025,70985,417212,426082,40321,34785,739271,257537,0,0.571811394,0.466354602,0.498716354,0.480480409,0.546836526,0.464300149,0.501074076,0.40981357,0
37,147,354440,17522,28874,82393,93129,8922,15633,151286,52026,0,-0.392151694,-0.187993869,-0.417808397,-0.400117651,-0.381850392,-0.141622019,-0.426710682,-0.403043018,0
26,5,231096,11422,7684,56473,57114,5668,3723,104765,36510,0,-0.480571387,-0.517258054,-0.488761125,-0.495370552,-0.478093815,-0.518425122,-0.500116423,-0.464413372,0
34,35,667502,32935,22154,161916,169724,15809,10611,308843,67998,0,-0.168739772,-0.292413658,-0.200124222,-0.197538283,-0.178153879,-0.300505746,-0.178100627,-0.33986905,0
13,57,483378,23825,15857,113842,116858,11386,7751,199180,50985,0,-0.30078951,-0.390260594,-0.331720729,-0.337358909,-0.308972766,-0.39098911,-0.351138477,-0.40716048,0
