,NUTS,VOLMALE1112,VOLFEMALE1112,VOLMALE1926,VOLFEMALE1926,VOLBOTH1112,VOLBOTH1926,VOLMALE18PLUS,VOLMALE18PLUSAGAINST,VOLFEMALE18PLUS,VOLFEMALE18PLUSAGAINST,VOLBOTH18PLUS,VOLBOTH18PLUSAGAINST,NORMMALE1112,NORMFEMALE1112,NORMMALE1926,NORMFEMALE1926,NORMBOTH1112,NORMBOTH1926,NORMMALE18PLUS,NORMMALE18PLUSAGAINST,NORMFEMALE18PLUS,NORMFEMALE18PLUSAGAINST,NORMBOTH18PLUS,NORMBOTH18PLUSAGAINST,id,CNTR_CODE,NUTS_NAME,LEVL_CODE,FID,NUTS_ID,geometry
22,FR246,8147,8169,31978,30760,16316,40147,245170,93165,263657,100189.66,508827,193354,0.21166206199999998,0.226161219,0.19696258,0.168135914,0.218713118,0.202259087,0.239313078,0.23931289600000002,0.232056227,0.232056227,0.235480775,0.235480737,FR246,FR,Loiret,3,FR246,FR246,"POLYGON ((2.936 48.163, 3.129 47.983, 2.852 47.758, 2.977 47.569, 2.875 47.52, 2.239 47.621, 1.74 47.662, 1.548 47.77, 1.52 47.982, 1.994 48.287, 2.403 48.321, 2.476 48.13, 2.936 48.163))"
23,FR251,8598,8236,35235,35653,16834,43471,252506,95952,281800,107084.0,534306,203036,0.22477824600000001,0.22821946399999998,0.219133975,0.19747889100000002,0.226451738,0.220782043,0.247511265,0.247509087,0.25017426,0.25017426,0.248917578,0.24891750899999998,FR251,FR,Calvados,3,FR251,FR251,"POLYGON ((0.413 48.951, -0.841 48.752, -1.16 48.827, -1.057 48.959, -1.12 49.356, 0.297 49.43, 0.413 48.951))"
24,FR252,6251,6048,20469,18308,12299,26517,189478,72002,203231,77227.78,392709,149229,0.156521739,0.161003932,0.1186173,0.093462147,0.15870146599999999,0.126306052,0.177075697,0.177075368,0.17171337899999997,0.17171337899999997,0.17424388600000001,0.17424364399999998,FR252,FR,Manche,3,FR252,FR252,"POLYGON ((-1.12 49.356, -1.057 48.959, -1.16 48.827, -0.841 48.752, -0.86 48.501, -1.07 48.508, -1.428 48.462, -1.571 48.626, -1.391 48.645, -1.942 49.726, -1.266 49.696, -1.308 49.546, -1.12 49.356))"
25,FR253,3701,3388,11532,11129,7089,14920,109285,41528,118924,45191.12,228209,86719,0.082361495,0.079288523,0.05778041,0.05041019,0.080867084,0.061681889000000004,0.087457757,0.08745544599999999,0.087522394,0.087522394,0.08749189199999999,0.087491673,FR253,FR,Orne,3,FR253,FR253,"POLYGON ((0.8149999999999999 48.67, 0.798 48.194, 0.353 48.46, -0.055 48.382, -0.234 48.562, -0.86 48.501, -0.841 48.752, 0.413 48.951, 0.8149999999999999 48.67))"
26,FR261,6365,5926,29748,30384,12291,35674,198959,75604,219037,83234.06,417996,158838,0.15983713800000002,0.15725608300000002,0.18178228899999999,0.165881069,0.15858195,0.177333341,0.187670982,0.187668365,0.187497628,0.187497628,0.187579435,0.187579105,FR261,FR,Côte-d'Or,3,FR261,FR261,"POLYGON ((5.374 47.605, 5.478 47.609, 5.375 47.46, 5.519 47.304, 5.255 46.98, 4.685 46.901, 4.21 47.155, 4.106 47.339, 4.293 47.926, 4.704 48.02, 4.959 47.762, 5.374 47.605))"
27,FR262,2373,2227,8337,7575,4600,10564,84098,31957,93781,35636.78,177879,67594,0.043740003,0.043622512,0.036031069,0.029097102000000003,0.043682865999999994,0.037408124,0.059310574000000005,0.059308426,0.062413994,0.062413994,0.060949473,0.060949817,FR262,FR,Nièvre,3,FR262,FR262,"POLYGON ((4.106 47.339, 4.21 47.155, 4.182 47.151, 4.115 47.146, 4.116 47.123, 3.994 46.979, 4.059 46.781, 3.629 46.749, 3.032 46.795, 3.075 47.03, 2.875 47.52, 2.977 47.569, 4.106 47.339))"
28,FR263,6602,6145,22108,19446,12747,28253,212157,80620,230128,87448.64,442285,168068,0.166729679,0.16398378,0.129774474,0.100286653,0.165394326,0.135979894,0.20242011899999998,0.20241974399999998,0.198573366,0.198573366,0.20038867,0.20038858699999998,FR263,FR,Saône-et-Loire,3,FR263,FR263,"POLYGON ((4.21 47.155, 4.685 46.901, 5.255 46.98, 5.441 46.638, 5.311 46.447, 4.954 46.513, 4.78 46.177, 4.388 46.22, 3.9 46.276, 3.999 46.465, 3.629 46.749, 4.059 46.781, 3.994 46.979, 4.116 47.123, 4.115 47.146, 4.182 47.151, 4.21 47.155))"
29,FR264,4407,4114,13210,13092,8521,17324,128522,48838,140276,53304.88,268798,102143,0.102893704,0.1015913,0.069203069,0.062182163,0.10226033400000001,0.07507815400000001,0.108955648,0.10895317,0.10884501199999999,0.10884501199999999,0.108897221,0.10889724699999999,FR264,FR,Yonne,3,FR264,FR264,"POLYGON ((4.293 47.926, 4.106 47.339, 2.977 47.569, 2.852 47.758, 3.129 47.983, 2.936 48.163, 3.049 48.36, 3.415 48.39, 3.915 47.975, 4.293 47.926))"
30,FR301,35254,33359,149945,150396,68613,183304,925857,351826,1032659,392410.42,1958516,744236,1.0,1.0,1.0,0.8855845809999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,FR301,FR,Nord,3,FR301,FR301,"POLYGON ((2.607 50.913, 2.863 50.708, 3.019 50.774, 3.098 50.779, 3.177 50.756, 3.245 50.713, 3.286 50.528, 3.615 50.49, 3.656 50.462, 3.71 50.303, 4.028 50.358, 4.141 49.979, 3.173 50.012, 3.09 50.054, 3.187 50.235, 3.069 50.456, 2.374 50.672, 2.068 51.006, 2.546 51.089, 2.607 50.913))"
31,FR302,20206,19081,72582,71162,39287,91663,526219,199963,585282,222407.16,1111501,422370,0.562367311,0.5613787170000001,0.47336641700000004,0.41042386299999994,0.56188655,0.489331468,0.553393263,0.553391406,0.553238637,0.553238637,0.5533116060000001,0.5533113129999999,FR302,FR,Pas-de-Calais,3,FR302,FR302,"POLYGON ((3.09 50.054, 1.642 50.352, 1.581 50.87, 2.068 51.006, 2.374 50.672, 3.069 50.456, 3.187 50.235, 3.09 50.054))"
