NUTS,VOLMALE1112,VOLFEMALE1112,VOLMALE1926,VOLFEMALE1926,VOLBOTH1112,VOLBOTH1926,VOLMALE18PLUS,VOLMALE18PLUSAGAINST,VOLFEMALE18PLUS,VOLFEMALE18PLUSAGAINST,VOLBOTH18PLUS,VOLBOTH18PLUSAGAINST,NORMMALE1112,NORMFEMALE1112,NORMMALE1926,NORMFEMALE1926,NORMBOTH1112,NORMBOTH1926,NORMMALE18PLUS,NORMMALE18PLUSAGAINST,NORMFEMALE18PLUS,NORMFEMALE18PLUSAGAINST,NORMBOTH18PLUS,NORMBOTH18PLUSAGAINST
FR421,13532,12657,58610,61759,26189,71267,415534,157903,449562,170833.56,865096,328736,0.368271048,0.364032932,0.378254743,0.354034734,0.366210018,0.375674968,0.429699653,0.42969862,0.417705402,0.417705402,0.423365556,0.42336516
FR422,9470,9481,34827,33897,18951,44308,283908,107885,302868,115089.84,586776,222975,0.250138142,0.266465962,0.216356594,0.186948282,0.258078492,0.225446217,0.282603885,0.28260243,0.271213268,0.271213268,0.276588564,0.276589042
FR431,6684,6254,29221,28419,12938,35475,198768,75532,212167,80623.46,410935,156155,0.169114439,0.167332268,0.178194839,0.154097102,0.168247755,0.176224415,0.187457534,0.187456622,0.180637082,0.180637082,0.183855691,0.183855612
FR432,3358,3292,10422,9785,6650,13714,98034,37253,105321,40021.98,203355,77275,0.072386215,0.076339395,0.050224301,0.042350317,0.074308678,0.054961466,0.074884448,0.074883248,0.073938113,0.073938113,0.074384694,0.0743852
FR433,3075,2891,9643,8736,5966,12534,90763,34490,95495,36288.1,186258,70778,0.064155882,0.064020644,0.04492141,0.036059538,0.064090115,0.048385928,0.0667589,0.066757637,0.064125635,0.064125635,0.065368287,0.065368602
FR434,1822,1591,8738,6694,3413,10329,55235,20989,56384,21425.92,111619,42415,0.027715574,0.024084542,0.038760798,0.023813807,0.025949774,0.036098588,0.027055358,0.027053018,0.025068456,0.025068456,0.026006086,0.026006162
FR511,17067,16138,66777,65008,33205,82915,475081,180531,521172,198045.36,996253,378576,0.471077505,0.470969526,0.433850008,0.373518758,0.471024994,0.440583328,0.496245105,0.496244515,0.489216859,0.489216859,0.492533527,0.492533585
FR512,10167,10059,40407,40627,20226,50466,289342,109950,315066,119725.08,604408,229675,0.270408608,0.284222168,0.254341359,0.227307618,0.277126253,0.259761609,0.288676534,0.288675317,0.283394482,0.283394482,0.285887112,0.285887365
FR513,4151,3955,13284,11847,8106,17239,113934,43295,120089,45633.82,234023,88929,0.095448597,0.096706808,0.069706809,0.054715985,0.096060475,0.074604493,0.092653146,0.092651954,0.088685791,0.088685791,0.090558008,0.090558732
FR514,7221,7095,25624,24476,14316,32719,210375,79943,226784,86177.92,437159,166120,0.184731714,0.193167855,0.15370896,0.130451209,0.188834277,0.160866634,0.200428684,0.200428778,0.195233968,0.195233968,0.197685383,0.197685134
FR515,7860,7553,25512,23856,15413,33065,242746,92243,258258,98138.04,501004,190382,0.203315399,0.207237651,0.152946542,0.126733113,0.205222821,0.162794715,0.236604189,0.236601419,0.226664656,0.226664656,0.231355177,0.231356167
FR521,7363,7058,22919,20673,14421,29977,222701,84626,245638,93342.44,468339,177969,0.188861422,0.192031212,0.135295199,0.107644886,0.190402916,0.145586867,0.214203336,0.214200849,0.214062023,0.214062023,0.214128709,0.214129288
FR522,11307,10612,40909,36959,21919,51521,338126,128488,370890,140938.2,709016,269426,0.3035626,0.301210371,0.257758627,0.205310881,0.302418692,0.265640586,0.34319403,0.343193074,0.339141663,0.339141663,0.341053997,0.34105418
FR523,12946,12234,56282,56802,25180,68516,369508,140413,397844,151180.72,767352,291594,0.351228733,0.351038339,0.362407336,0.324307954,0.351136143,0.360345049,0.3782643,0.37826289,0.366058571,0.366058571,0.371818522,0.371819141
FR524,9279,8582,30503,26839,17861,39085,273020,103748,297856,113185.28,570876,216933,0.244583394,0.238848611,0.186921804,0.144621954,0.241794523,0.196341103,0.270436238,0.270436071,0.266208165,0.266208165,0.268203416,0.268203897
FR531,4153,3999,14615,13005,8152,18614,135370,51441,147900,56202,283270,107643,0.095506762,0.098058491,0.078767333,0.06166043,0.096747688,0.082266666,0.116608481,0.116608241,0.11645852,0.11645852,0.116529287,0.116530199
FR532,7100,6701,25686,23691,13801,32387,239027,90830,265084,100731.92,504111,191562,0.181212738,0.181064144,0.154131013,0.125743619,0.181140475,0.159016567,0.232448102,0.232445976,0.233481263,0.233481263,0.232993709,0.232993783
FR533,4620,4225,15108,14100,8845,19333,141044,53597,150201,57076.38,291245,110673,0.109088265,0.105001229,0.082123335,0.068227068,0.107100707,0.086273286,0.122949336,0.122948747,0.118756354,0.118756354,0.120735045,0.120735261
FR534,4813,4754,23375,24546,9567,28129,162151,61617,178777,67935.26,340928,129553,0.114701178,0.12125215,0.13839933,0.130870994,0.117886968,0.135288906,0.146537004,0.146534485,0.14729303,0.14729303,0.146936257,0.146937104
FR611,4586,4328,14272,13625,8914,18600,160508,60993,177993,67637.34,338501,128630,0.108099462,0.108165397,0.076432427,0.065378526,0.108131527,0.082188651,0.144700905,0.144699385,0.146510109,0.146510109,0.145656336,0.145656156
FR612,17726,16781,77589,81330,34507,94370,545251,207195,612865,232888.7,1158116,440084,0.490242838,0.490722536,0.507450596,0.471400643,0.490476119,0.504416198,0.574662059,0.574659742,0.58078368,0.58078368,0.577894853,0.577894971
FR613,4684,4570,14304,12645,9254,18874,148195,56314,160487,60985.06,308682,117299,0.110949542,0.115599656,0.076650261,0.059501535,0.11321093,0.083715513,0.13094078,0.130939077,0.129028199,0.129028199,0.129930757,0.129930887
FR614,3932,3653,12499,12295,7585,16152,125699,47766,139225,52905.5,264924,100671,0.08907954,0.087429344,0.064363074,0.05740261,0.088277037,0.068547196,0.105800865,0.105800562,0.107795458,0.107795458,0.106854199,0.106854391
FR615,7451,7252,28413,26482,14703,35665,249498,94809,277723,105534.74,527221,200344,0.191420678,0.197990907,0.172694536,0.14248105,0.194615833,0.177283188,0.24414974,0.244147678,0.24610287,0.24610287,0.245181177,0.245181525
FR621,1769,1717,5481,4995,3486,7198,58786,22339,63267,24041.46,122053,46380,0.026174204,0.027955272,0.016589404,0.013625024,0.027040351,0.018651123,0.031023701,0.031023186,0.031941984,0.031941984,0.031508641,0.031508826
FR622,3051,2963,9860,8959,6014,12823,107796,40962,115194,43773.72,222990,84736,0.063457903,0.06623249,0.046398595,0.037396853,0.064807207,0.049996378,0.085793758,0.085790916,0.083797527,0.083797527,0.084739559,0.084739647
