GEOID,XCoord,YCoord,subway,competitors,rating,review_count,price,unsupervised_score,uns_rank,house_cost,rent,half-mile_sub_count
55,-73.7806738,40.7676658,0,4,0,0,0,0.005394252,44,41.26666667,41.26666667,0
56,-73.78312153,40.90939841,0,1,0,0,0,0.004155725,55,24.25,24.25,0
57,-73.7814435,40.65028517,1,0,0,0,0,0.004341117,54,33.4,33.4,0
58,-73.97439509,40.78721727,34,5,3.14516129,140.5806452,1.580645161,0.003819544,60,107.6766667,107.6766667,22
59,-73.85944874,40.83926061,29,4,0,0,0,0.005521725,41,38.83,38.83,1
60,-73.9519033,40.65925803,32,2,3.5,49,1,0.004425602,53,61.29333333,61.29333333,4
61,-73.84203271,40.71208513,29,7,0,0,0,0.00399109,56,30.36458333,30.36458333,2
62,-73.99047711,40.60788162,44,13,0,0,0,0.005506336,42,27.578125,27.578125,8
63,-74.00928512,40.7098105,113,5,2.862068966,84.48275862,1.413793103,0.002799861,87,74.46779904,74.46779904,104
64,-74.18797898,40.79484851,0,3,0,0,0,0.006035736,35,47.08,47.08,0
65,-74.16959624,40.91760982,0,0,0,0,0,0.006737204,27,62.23,62.23,0
66,-74.02852417,40.94321455,0,0,0,0,0,0.003099451,76,40.16666667,40.16666667,0
67,-74.00185992,40.72752794,51,3,3.888888889,249.8518519,1.888888889,0.003256675,72,133.684,133.684,51
68,-74.20705057,40.87924441,0,2,0,0,0,0.003399131,69,52.75333333,52.75333333,0
69,-74.06201666,40.73937397,0,4,3.9,32.8,1.4,0.007842838,17,107.5166667,107.5166667,0
70,-74.24064195,40.72287912,0,0,0,0,0,0.00595403,36,18.86,18.86,0
71,-73.98998223,40.69302696,58,3,3.666666667,193.1666667,1.333333333,0.009071559,14,44.01744186,44.01744186,51
72,-74.18008544,40.73640327,0,1,0,0,0,0.007044299,22,18.86,18.86,0
73,-73.90250712,40.82417058,51,8,0,0,0,0.007437726,19,28.76937008,28.76937008,10
74,-73.97720035,40.75411347,53,15,3.333333333,203.025641,1.615384615,0.003672236,63,81.0652495,81.0652495,69
75,-74.00138434,40.81143296,0,1,4,73.72727273,1.454545455,0.002973198,82,59.8,59.8,0
76,-74.24665292,40.78669316,0,3,0,0,0,0.006435839,32,20.93333333,20.93333333,0
77,-73.91548653,40.87303803,36,4,2.75,4,0.5,0.003863295,58,73,73,12
78,-74.04141176,40.72109011,0,2,3.111111111,185,1.777777778,0.008853606,15,83.07,83.07,0
79,-73.98257426,40.93388661,0,1,0,0,0,0.005322961,46,40.16666667,40.16666667,0
80,-74.08287207,40.62839402,6,0,0,0,0,0.00323321,73,24.16666667,24.16666667,1
81,-74.02752718,40.62369565,14,2,0,0,0,0.003174605,74,50.5,50.5,8
82,-74.15254012,40.83215155,0,4,0,0,0,0.004487492,52,52.75333333,52.75333333,0
83,-73.83129388,40.75796983,17,35,4.166666667,242,2,0.016212853,7,31.6,31.6,10
84,-73.85060598,40.93847955,0,1,0,0,0,0.003411055,68,24.5,24.5,0
85,-73.98654492,40.72985949,29,8,3.620689655,333.4137931,1.74137931,0.003315689,71,172.8,172.8,33
86,-73.87332336,40.68051217,37,3,0,0,0,0.044569204,1,29.05128205,29.05128205,10
87,-73.86868865,40.8836412,28,4,0,0,0,0.007276409,20,44.5,44.5,4
88,-73.94889927,40.59594522,7,5,0,0,0,0.003816285,61,35,35,2
89,-73.74425178,40.71403784,0,4,0,0,0,0.006494219,30,34.06666667,34.06666667,0
90,-73.89837053,40.57472013,0,0,0,0,0,0.003890639,57,41.66666667,41.66666667,0
91,-73.99076217,40.75692678,83,16,3.433333333,227.0222222,1.644444444,0.003845685,59,60.60857143,60.60857143,94
92,-73.95771298,40.96951848,0,2,0,0,0,0.005834663,39,71.3125,71.3125,0
93,-73.86643628,40.73056741,24,7,4.1,74,1.4,0.006870683,25,25,25,11
94,-74.03313418,40.89792236,0,3,0,0,0,0.007097487,21,44.61,44.61,0
95,-73.92811981,40.62325348,0,5,0,0,0,0.006991247,23,30,30,0
96,-73.9388208,40.80387038,53,2,3.482142857,10.96428571,1.178571429,0.002878614,84,25,25,13
97,-73.89294531,40.64615792,6,1,0,0,0,0.005875957,37,33,33,3
98,-73.97289368,40.68173333,47,5,3.875,71.25,1.25,0.002842958,85,76.5,76.5,34
99,-74.10415065,40.82651645,0,1,4,93,2,0.001157502,99,52.75333333,52.75333333,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
