,neighborhood,lat,lng,Manhattan,competitors,rating,review_count,rent,unsupervised_score,price,half-mile_sub_count
39,39,40.6324275258156,-73.94612974468085,0,0.9019607843137255,0.0,0.0,0.8446844257645572,0.1312144114410897,1.0,0.08163265306122448
40,40,40.72271758869748,-73.98169191936975,1,0.9607843137254902,0.8271604938271605,0.0926490514905149,0.5577229750787199,0.09040089261868223,0.42222222222222217,0.08163265306122448
41,41,40.66621343947369,-74.11212342671053,0,0.9607843137254902,0.0,0.0,0.9329817048757983,0.11927526649980844,1.0,0.0
42,42,40.71821330986957,-74.04170641547827,0,0.9607843137254902,0.7083333333333333,0.27458079268292684,0.7090535624140502,0.05214264143857341,0.29999999999999993,0.0
43,43,40.728026636612896,-74.15092631306452,0,0.9607843137254902,0.0,0.0,0.8817344682925127,0.14791859829613585,1.0,0.0
44,44,40.61631817698113,-73.98635180084905,0,0.9411764705882353,0.0,0.0,0.9209797208355264,0.14756828721476178,1.0,0.0510204081632653
45,45,40.9521337108,-74.0958220712,0,1.0,0.0,0.0,0.7778387035006171,0.06000033015048231,1.0,0.0
46,46,40.87736215740741,-74.04308362203705,0,0.9803921568627451,0.0,0.0,0.866276742040489,0.09906898124585513,1.0,0.0
47,47,40.74886667614601,-73.98527413599321,1,0.8235294117647058,0.7777777777777777,0.4311737804878049,0.5359318863998819,0.06987140981469718,0.29999999999999993,0.9693877551020408
48,48,40.68692357971429,-74.01649544485714,0,1.0,0.0,0.0,0.8678686917736066,0.0,1.0,0.0
49,49,40.738510164313716,-73.78451330019608,0,1.0,0.0,0.0,0.8824423671674176,0.006275252679432818,1.0,0.0
50,50,40.5852118259375,-74.091864395625,0,0.9803921568627451,0.0,0.0,0.9352440051802773,0.07426177570660566,1.0,0.04081632653061224
51,51,40.865997964514285,-73.92325055765714,1,0.9803921568627451,0.611111111111111,0.006097560975609756,0.7719637230838852,0.08259034040864627,0.8,0.22448979591836732
52,52,40.665303157529415,-73.73112105105882,0,0.9803921568627451,0.0,0.0,0.9075089502788074,0.1629860272060478,1.0,0.0
53,53,40.71311010581896,-73.95321178090519,0,0.9607843137254902,0.8148148148148148,0.15879065040650409,0.7380571601669577,0.041918131168486715,0.33333333333333326,0.24489795918367346
54,54,40.67605230642336,-73.87215261569344,0,0.9411764705882353,0.0,0.0,0.9236080350821956,1.0,1.0,0.1020408163265306
55,55,40.79942206295918,-74.01323508336735,0,1.0,0.0,0.0,0.821760347218595,0.16230350828292311,1.0,0.0
56,56,40.79517800197044,-73.96933872039409,1,0.9411764705882353,0.6888888888888889,0.19870426829268292,0.6512379526636133,0.047684269534560425,0.33999999999999997,0.1530612244897959
57,57,40.867775657333326,-73.8275141436,0,0.9803921568627451,0.0,0.0,0.9108395564607374,0.07092278284482113,1.0,0.0
58,58,40.8274004069863,-74.13997838506849,0,0.9803921568627451,0.0,0.0,0.8424518831850802,0.11477255857816676,1.0,0.0
59,59,40.93289116256409,-73.96335474346154,0,0.9803921568627451,0.0,0.0,0.8862719840316577,0.12823296480060387,1.0,0.0
60,60,40.67773410236842,-74.20797035052631,0,1.0,0.0,0.0,0.9604505022020295,0.12585386250787864,1.0,0.0
61,61,40.90978631705881,-73.78084167941176,0,0.9803921568627451,0.0,0.0,0.9416853795672531,0.02834568228653412,1.0,0.0
62,62,40.75282196031579,-73.97564023706767,1,0.8823529411764706,0.6752136752136751,0.2949108818011257,0.7549604054545487,0.055866031504165435,0.3538461538461538,0.520408163265306
63,63,40.812425182372884,-73.92919024118646,0,1.0,0.0,0.0,0.9319989780680072,0.115018087916236,1.0,0.14285714285714285
64,64,40.911208146034475,-73.90431241224137,0,1.0,0.0,0.0,0.9390742771598166,0.04653072474818033,1.0,0.0
65,65,40.80600930287879,-74.19606898515151,0,0.9803921568627451,0.0,0.0,0.8622034222848881,0.11536912155026353,1.0,0.0
66,66,40.61763451852941,-74.17302592617648,0,1.0,0.0,0.0,0.837135349774621,0.01836173577181292,1.0,0.0
67,67,40.62125793083333,-74.07493028611111,0,1.0,0.0,0.0,0.9177855593334205,0.039355211829529835,1.0,0.030612244897959183
68,68,40.76197153575472,-73.77072113113208,0,0.9607843137254902,0.0,0.0,0.8824423671674176,0.0778374865453468,1.0,0.0
69,69,40.773855897397254,-73.90942307253424,0,1.0,0.9166666666666666,0.053353658536585365,0.9296783744432662,0.11678866990595183,0.5,0.061224489795918366
70,70,40.71859745513513,-74.07249387,0,0.9803921568627451,0.0,0.0,0.7378337133937939,0.13910085458262497,1.0,0.0
