GEOID,XCoord,YCoord,A1subway,A1competition,A1rating,A1review,A1price,A1CF,A1rent
148,40.68375374,-73.71718883,0,1,0,0,0,0.008199116,34.06666667
149,40.57994782,-73.83730281,5,0,0,0,0,0.010195111,29.33333333
150,40.89651226,-73.82025955,1,0,0,0,0,0.002825962,28.83333333
151,40.74574727,-74.17367506,0,0,0,0,0,0.000414991,74.18333333
152,40.7846768,-74.19241145,0,0,0,0,0,0,47.08
153,40.7880348,-74.13074179,0,0,0,0,0,0.001751459,47.08
154,40.82535214,-73.85425008,0,1,0,0,0,0.005074312,34.94333333
155,40.70825252,-74.00596556,26,1,2.944444444,77.22222222,1.222222222,0.001534614,81.80333333
156,40.6392101,-73.89895054,5,0,0,0,0,0.006357637,30
157,40.74892518,-73.93931658,32,1,3,24,1,0.000808337,22
158,40.66664137,-74.231571,0,0,0,0,0,0.004465106,18.86
159,40.791744,-73.7007702,0,0,0,0,0,0.002558607,35.375
160,40.68634206,-73.99364046,9,0,0,0,0,0.003103333,18
161,40.76272778,-74.14800217,0,0,0,0,0,0.003362269,88.18333333
162,40.85334589,-73.88582736,0,1,0,0,0,0.005170157,38
163,40.81599588,-74.00756562,0,0,3.833333333,20,1,0,59.8
164,40.71986628,-73.84393762,8,1,0,0,0,0.002849994,35
165,40.71422891,-74.19861122,0,0,0,0,0,0.001806988,18.86
166,40.88236056,-73.87965657,6,1,0,0,0,0.003158439,44.5
167,40.74934765,-74.00462251,1,2,2.75,99,1,0.001720913,41.27
168,40.75872186,-74.21892824,0,1,0,0,0,0.003836814,20.93333333
169,40.7460644,-73.88467407,19,7,3.807692308,82,1.153846154,0.029655992,50.94333333
170,40.89487069,-74.0385309,0,0,0,0,0,0.002021109,44.61
171,40.72381561,-73.79371831,0,0,0,0,0,0.006551506,34.06666667
172,40.58645547,-73.93278287,0,1,0,0,0,0.003549831,29.16666667
173,40.653927,-73.95804104,17,0,0,0,0,0.00364586,61.29333333
174,40.84272516,-74.1095648,0,0,0,0,0,0.001984699,52.75333333
175,40.78472979,-73.84147252,0,1,4,31,1,0.002425898,27.6
176,40.61305413,-74.00493099,13,3,0,0,0,0.005637778,44.83333333
177,40.67452126,-73.96342087,13,0,3.5,49,1,0.002677167,84.86666667
178,40.94257145,-74.15020905,0,0,0,0,0,0.003271865,45.44333333
179,40.66404728,-73.92688237,10,1,0,0,0,0.004074677,49.2
180,40.9539432,-74.06997225,0,0,0,0,0,0.002936816,40.16666667
181,40.68259849,-74.10458123,0,2,0,0,0,0.006682029,26.75
182,40.76987568,-74.07229189,0,0,0,0,0,0.001105055,47.08
183,40.86497599,-74.19679301,0,0,0,0,0,0.002065616,52.75333333
184,40.7310539,-73.98040767,4,0,3.5,138.3333333,1.5,0.002869141,99.79
185,40.74349611,-74.19475837,0,1,0,0,0,0.003461709,18.86
186,40.80558237,-73.96251945,15,4,3.533333333,105.8666667,1.666666667,0.004123441,52.46666667
187,40.7193894,-73.98851241,13,11,3.673913043,344.4347826,1.347826087,0.006337384,144.285
188,40.75092303,-73.86568616,9,1,4.25,7,1,0.010320944,28.16666667
189,40.76275033,-73.81016441,0,0,0,0,0,0.003572982,27.66666667
190,40.74856706,-74.1118727,0,0,0,0,0,0,107.5166667
191,40.83667598,-73.85903187,7,3,0,0,0,0.006290644,33.11
192,40.83181785,-74.18380498,0,0,0,0,0,0.004110501,47.08
193,40.60224677,-74.15960985,13,2,0,0,0,0.003886106,54.5111875
194,40.72760178,-73.95322291,11,3,3.444444444,68.66666667,1.111111111,0.002312841,84.28333333
195,40.7852428,-73.97538525,18,1,3.307692308,142,1.384615385,0.001847637,107.6766667
196,40.73274666,-74.06397981,0,1,3.5,16,2,0.003563048,107.5166667
197,40.78100969,-74.01728467,0,2,3.55,42.6,1,0.008794107,52.75333333
198,40.73208012,-74.16997606,0,0,0,0,0,0.001759382,28.22
199,40.76088302,-73.99816704,1,0,3.25,111.5,2,0.001906897,56.845
200,40.74148166,-73.99754407,40,4,3.166666667,79.5,1.666666667,0.001948049,48
201,40.93608475,-73.89176057,0,0,0,0,0,0.001879639,25
202,40.75515229,-73.6970219,0,0,0,0,0,0.001885322,35.6875
203,40.87770629,-73.84238493,4,0,0,0,0,0.010063394,33.11
204,40.60223391,-74.07983506,3,0,0,0,0,0.001259112,7.5
205,40.76669198,-73.9679923,20,1,3.5,311.5,2.5,0.004821206,75
206,40.83232633,-74.24543576,0,0,0,0,0,0.003246554,47.08
207,40.97736239,-74.0235314,0,0,0,0,0,0.00285827,71.3125
208,40.79240829,-74.15019269,0,1,0,0,0,0.003429742,47.08
209,40.65024103,-73.88213747,0,1,0,0,0,0.006882002,29
210,40.62608591,-73.9651858,18,2,0,0,0,0.005789375,60
211,40.67427197,-73.89558153,25,0,0,0,0,0.002362872,18
212,40.69176881,-73.98532294,48,2,3.8,215,1.2,0.00151203,55
213,40.81547473,-74.21702309,0,0,0,0,0,0.002802718,47.08
214,40.85540822,-74.0694111,0,0,0,0,0,0.0068247,58.69666667
215,40.86498922,-73.96508681,0,0,0,0,0,0.007912273,45.91
216,40.76049401,-73.91508546,8,2,3.357142857,38.42857143,1,0.003371509,93.33
217,40.94658923,-73.83454161,0,1,0,0,0,0.005428691,24.5
218,40.76050697,-73.8301715,10,30,4.166666667,242,2,0.025028465,31.6
219,40.71541334,-73.94192619,10,0,3,45,1,0.003106895,34
220,40.72270319,-74.00180273,18,1,4,268,2.5,0.00111246,73.8
221,40.92227483,-74.10887869,0,1,0,0,0,0.011368697,45.44333333
222,40.70551921,-73.71263273,0,1,0,0,0,0.002313666,34.06666667
223,40.79489371,-74.17426014,0,1,0,0,0,0.002694677,47.08
224,40.70671979,-73.83233196,14,3,0,0,0,0.003395036,34.06666667
225,40.78108013,-73.77663454,0,0,0,0,0,0.000764352,41.26666667
226,40.72385499,-73.80868034,0,0,0,0,0,0.003162142,34.06666667
227,40.88274468,-74.01584066,0,0,0,0,0,0.001098061,44.61
228,40.71010927,-73.88060136,1,1,0,0,0,0.004535005,34.2
229,40.71924304,-73.74421396,0,1,0,0,0,0.011461244,34.06666667
230,40.66185679,-74.17363568,0,0,0,0,0,0.00014752,18.86
231,40.79942319,-73.93705403,9,0,3.611111111,19.22222222,1.333333333,0.000879574,41.66666667
232,40.57768748,-73.98213779,18,1,0,0,0,0.001241371,31.16666667
233,40.82203268,-73.93869737,13,1,3.3,10.2,1,0.004333029,31.57666667
234,40.70511137,-74.15360917,0,0,0,0,0,0,18.86
235,40.65238948,-74.00482089,10,1,0,0,0,0.003926355,21
236,40.76096421,-73.78873703,0,1,0,0,0,0.003491361,41.26666667
237,40.77225304,-74.03069084,0,0,3.625,15.5,1,0.002371165,52.75333333
238,40.68796337,-74.04710275,0,0,0,0,0,0,83.66666667
239,40.66161864,-73.84215038,7,2,0,0,0,0.00601639,29.33333333
240,40.94402419,-73.99111535,0,0,0,0,0,0.001818487,40.16666667
241,40.64207311,-74.07641059,3,0,0,0,0,0.001226295,30
242,40.68325792,-73.74673551,0,6,0,0,0,0.014583747,34.06666667
243,40.86945565,-73.86330853,6,2,0,0,0,0.009051096,33.11
244,40.76303092,-73.98490341,30,2,3.428571429,361.0952381,1.714285714,0.002273777,52
245,40.84999715,-73.91075679,19,2,0,0,0,0.037244231,40.63333333
246,40.57146953,-74.11118114,20,1,0,0,0,0.004447125,23.875
247,40.85681922,-74.13071799,0,0,0,0,0,0.007576691,52.75333333
248,40.70583102,-74.09086621,0,1,0,0,0,0.002624117,82.80333333
249,40.69102266,-73.92968744,6,4,0,0,0,0.023651687,40.81
250,40.89478365,-73.8569375,12,1,0,0,0,0.010442152,28.5
251,40.72846009,-74.03995341,0,0,0,0,0,0.000967427,124.9333333
252,40.89308777,-74.10054788,0,1,0,0,0,0.024109244,57.77666667
253,40.55986548,-73.91686379,0,0,0,0,0,0,29.16666667
254,40.75142441,-73.99233946,31,6,3.25,146.5,1.375,0.005302419,48
255,40.59831872,-73.9747342,17,3,0,0,0,0.01189419,39.16666667
256,40.75791226,-73.96816611,21,6,3.392857143,139.5,1.75,0.003308419,70
257,40.77046048,-73.92093388,8,2,3.125,41.25,1,0.003878618,23.61
258,40.68610928,-73.8488205,17,3,0,0,0,0.01199945,26.06666667
259,40.80934531,-73.91564716,28,1,0,0,0,0.007066032,25
260,40.7026389,-73.803054,20,1,0,0,0,0.002894844,54
261,40.77818808,-73.95144404,14,8,3.5,123.2631579,1.578947368,0.004769271,40
262,40.88195564,-73.95037314,0,0,0,0,0,0.000890539,44.5
263,40.6352383,-73.92197873,0,0,0,0,0,0.001697729,30
264,40.7410043,-73.98396474,16,4,3.5,140.1875,1.5,0.004215782,58
265,40.76995201,-73.98453547,22,0,3.5,401.8,1.8,0.004143469,57.33333333
266,40.74671325,-74.15522093,0,0,0,0,0,0.003165846,107.5166667
267,40.91628985,-74.05807511,0,0,0,0,0,0.006592782,40.16666667
268,40.75186094,-73.75604896,0,0,0,0,0,0.000648479,41.26666667
269,40.92943516,-74.02849413,0,0,0,0,0,0,40.16666667
270,40.8835921,-74.21571691,0,1,0,0,0,0.003900118,52.75333333
271,40.84319977,-74.16101541,0,2,0,0,0,0.003534427,52.75333333
272,40.64483193,-73.79096904,0,0,0,0,0,0,33.4
273,40.84385317,-73.94022344,14,0,3.333333333,20.66666667,1,0.000492007,45.91
274,40.87463597,-73.9871985,0,0,0,0,0,0.003629572,44.61
275,40.87260697,-73.91062813,6,2,0,0,0,0.00489163,44.5
276,40.76226951,-73.89131182,0,0,3.833333333,17,1,0.008738889,45.94333333
277,40.72869059,-73.98776318,10,4,3.725806452,456.6451613,1.838709677,0.005754454,130.4566667
278,40.71651879,-73.96055055,4,2,3.9375,136.125,1.625,0.005050492,84.28333333
279,40.79969881,-74.25596744,0,2,0,0,0,0.012156674,36.51666667
280,40.63697179,-74.02326663,16,1,0,0,0,0.003299545,20.93333333
281,40.65710661,-74.1284114,0,0,0,0,0,0.006006656,18.86
282,40.871001,-73.88474495,10,2,0,0,0,0.012418435,44.5
283,40.60193978,-73.94002074,0,1,0,0,0,0.007540191,39.16666667
284,40.76813451,-73.74127412,0,1,0,0,0,0.009090088,41.26666667
285,40.87848938,-74.122484,0,1,0,0,0,0.012172705,62.23
286,40.84814352,-73.83127894,10,0,0,0,0,0.002660805,33.11
287,40.80683285,-73.99003785,0,0,0,0,0,0.002984699,107.6766667
288,40.90077971,-74.07094137,0,1,0,0,0,0.033785466,44.61
289,40.66607367,-73.7705914,0,0,0,0,0,0.001544091,34.06666667
290,40.90893702,-73.99895608,0,0,0,0,0,0.002813875,40.16666667
291,40.60871074,-74.12659563,0,0,0,0,0,0.000576985,21.33
292,40.71586149,-74.00939884,36,3,2.388888889,97.11111111,1.444444444,0.00654797,79.8
293,40.73206888,-74.00073194,11,3,3.911764706,271.7058824,1.588235294,0.005534429,123.6
294,40.74546965,-74.05089835,0,4,3.75,49.5,1.25,0.024224789,107.5166667
295,40.74429538,-73.97715337,1,3,3.444444444,71.33333333,1.5,0.003685058,84
296,40.86347553,-74.15250021,0,0,0,0,0,0.005563638,52.75333333
297,40.93388517,-74.12934898,0,0,0,0,0,0.000783365,45.44333333
298,40.67564147,-73.99917332,3,0,0,0,0,0.000910504,42.45333333
299,40.85505622,-73.86657002,10,0,0,0,0,0.000557466,33.11
